District,VDC Code,VDC,Ward,HH,Total,Male,Female
Nuwakot,38,Madanpur,7,162,800,385,415
Nuwakot,38,Madanpur,8,306,"1,565",755,810
Nuwakot,38,Madanpur,9,313,"1,610",749,861
Nuwakot,39,Mahakali,1,78,316,153,163
Nuwakot,39,Mahakali,2,85,366,166,200
Nuwakot,39,Mahakali,3,124,604,279,325
Nuwakot,39,Mahakali,4,63,287,121,166
Nuwakot,39,Mahakali,5,182,778,353,425
Nuwakot,39,Mahakali,6,59,312,158,154
Nuwakot,39,Mahakali,7,52,219,97,122
Nuwakot,39,Mahakali,8,78,301,142,159
Nuwakot,39,Mahakali,9,67,341,160,181
Nuwakot,40,Manakamana,1,60,251,113,138
Nuwakot,40,Manakamana,2,67,249,112,137
Nuwakot,40,Manakamana,3,91,357,169,188
Nuwakot,40,Manakamana,4,115,530,236,294
Nuwakot,40,Manakamana,5,130,506,225,281
Nuwakot,40,Manakamana,6,84,358,164,194
Nuwakot,40,Manakamana,7,62,265,130,135
Nuwakot,40,Manakamana,8,72,338,162,176
Nuwakot,40,Manakamana,9,108,467,226,241
Nuwakot,41,Narjamandap,1,75,327,155,172
Nuwakot,41,Narjamandap,2,225,"1,012",484,528
Nuwakot,41,Narjamandap,3,144,781,404,377
Nuwakot,41,Narjamandap,4,76,380,193,187
Nuwakot,41,Narjamandap,5,85,463,225,238
Nuwakot,41,Narjamandap,6,130,721,382,339
Nuwakot,41,Narjamandap,7,75,455,233,222
Nuwakot,41,Narjamandap,8,79,474,242,232
Nuwakot,41,Narjamandap,9,123,722,338,384
Nuwakot,42,Okharpauwa,1,222,"1,222",627,595
Nuwakot,42,Okharpauwa,2,85,450,223,227
Nuwakot,42,Okharpauwa,3,220,"1,113",540,573
Nuwakot,42,Okharpauwa,4,189,869,440,429
Nuwakot,42,Okharpauwa,5,194,982,476,506
Nuwakot,42,Okharpauwa,6,102,565,285,280
Nuwakot,42,Okharpauwa,7,157,911,468,443
Nuwakot,42,Okharpauwa,8,295,"1,550",778,772
